node,y,x,street_count,highway,ref,geometry,eigenvector_w_bridge,closeness_w_bridge,betweenness_w_bridge,straightness_w_bridge,eigenvector_wo_bridge,closeness_wo_bridge,betweenness_wo_bridge,straightness_wo_bridge
182856839,39.0439622,-76.1221745,1,turning_circle,,POINT (1561648.1296781725 502790.9256811681),1.11307097695733e-17,4.668301597540488e-05,0.0,0.7273598124033369,3.1382338051629123e-18,4.668301597540488e-05,0.0,0.7273598124033369
182856882,38.9624717,-76.2273977,1,,,POINT (1532015.2769102273 472842.50594353705),1.933891755601291e-17,4.729885983230766e-05,0.0,0.7826677169531664,2.434510605298955e-17,4.729885983230766e-05,0.0,0.7826677169531664
182856896,39.1382103,-75.9819073,1,,,POINT (1601101.5373875995 537528.8802757007),3.756804839653093e-14,3.767933108066035e-05,0.0,0.8169757862680387,3.7562864506735854e-14,3.767933108066035e-05,0.0,0.8169757862680387
182856907,38.907628,-76.1925108,3,,,POINT (1542111.424375281 452955.0006949749),2.6927368873568106e-17,3.851137630320827e-05,0.007996165333863008,0.7202518830928333,7.576913094060559e-18,3.851137630320827e-05,0.007996165333863008,0.7202518830928333
182856972,38.9098476,-76.1881944,1,turning_circle,,POINT (1543332.4694927998 453774.23908626253),8.139238486058473e-18,3.743886971540051e-05,0.0,0.6841584820910717,2.0759054456836286e-18,3.743886971540051e-05,0.0,0.6841584820910717
182856988,38.9457304,-76.3522129,3,,,POINT (1496569.307090876 466469.3381330082),1.1874274231235507e-16,3.4648384564784976e-05,0.1251099224448623,0.8060442282908725,1.3932896896550203e-16,3.4648384564784976e-05,0.1251099224448623,0.8060442282908725
182856995,39.0515235,-76.0740935,3,,,POINT (1575275.3895144134 505679.5896043324),1.8140702336445974e-17,4.835768797192125e-05,0.0017180486211371196,0.780423241891893,8.45603803554291e-18,4.835768797192125e-05,0.0017180486211371196,0.780423241891893
182856998,39.0509869,-76.0732702,1,,,POINT (1575511.1684093357 505486.5370913608),8.599424353429068e-18,4.814167699982216e-05,0.0,0.7724284448685896,2.754327299094041e-18,4.814167699982216e-05,0.0,0.7724284448685896
182857118,39.0453245,-76.0167733,3,,,POINT (1591577.0411441799 503592.19632748753),1.4582009951869148e-14,4.504121834080546e-05,0.013314302270513043,0.7906326486638091,1.4587825133711006e-14,4.504121834080546e-05,0.013314302270513043,0.7906326486638091
182857120,39.0466767,-76.0090733,3,,,POINT (1593758.4624200622 504108.29706842604),4.169635936757713e-14,4.549134095526679e-05,0.01216496943840034,0.8104378324209293,4.1678540360366394e-14,4.549134095526679e-05,0.01216496943840034,0.8104378324209293
