home,work,flow,home_node,work_node
24003702208,24003702701,175.0,102656842.0,452085434.0
24003702208,24003702702,35.0,102656842.0,102619363.0
24003702208,24003706302,20.0,102656842.0,102639717.0
24003702208,24003706500,20.0,102656842.0,102591787.0
24003702208,24003706700,10.0,102656842.0,102579127.0
24003702208,24003708004,15.0,102656842.0,6935252832.0
24003702208,24003730100,15.0,102656842.0,5468494815.0
24003702208,24003730401,30.0,102656842.0,584187475.0
24003702208,24003730502,80.0,102656842.0,102601086.0
24003702208,24003730504,25.0,102656842.0,102636559.0
24003702208,24003730505,20.0,102656842.0,588761375.0
24003702208,24003730601,15.0,102656842.0,102576280.0
24003702208,24003730604,10.0,102656842.0,3127053810.0
24003702208,24003730700,10.0,102656842.0,102573307.0
24003702208,24003731003,10.0,102656842.0,102604851.0
24003702208,24003731103,50.0,102656842.0,671848362.0
24003702208,24003731306,25.0,102656842.0,1062886189.0
24003702208,24003740102,70.0,102656842.0,102570587.0
24003702208,24003740201,35.0,102656842.0,335802021.0
24003702208,24003740601,35.0,102656842.0,11449905096.0
24003702208,24003740603,100.0,102656842.0,102587365.0
24003702208,24003740702,35.0,102656842.0,4707483807.0
24003702208,24003740800,15.0,102656842.0,3412132820.0
24003702208,24003741000,15.0,102656842.0,102597505.0
24003702208,24003750803,20.0,102656842.0,102582980.0
24003702208,24003751102,45.0,102656842.0,102561687.0
24003702208,24003751103,45.0,102656842.0,102609914.0
24003702208,24003751200,105.0,102656842.0,33154781.0
24003702208,24003751400,10.0,102656842.0,102659137.0
24003702208,24003751500,90.0,102656842.0,666085667.0
24003702208,24003980000,10.0,102656842.0,7386174054.0
24003702208,24005401102,15.0,102656842.0,2829421925.0
24003702208,24005401505,20.0,102656842.0,37759272.0
24003702208,24005402603,45.0,102656842.0,37680261.0
24003702208,24005430400,15.0,102656842.0,37358646.0
24003702208,24005440701,10.0,102656842.0,973408154.0
24003702208,24005452000,15.0,102656842.0,37018241.0
24003702208,24005980200,15.0,102656842.0,37037548.0
24003702208,24027601204,15.0,102656842.0,1836773749.0
24003702208,24027605102,15.0,102656842.0,37186575.0
24003702208,24027606603,10.0,102656842.0,1609459984.0
24003702208,24027606707,25.0,102656842.0,37186145.0
24003702208,24027606901,25.0,102656842.0,847712940.0
24003702208,24027606905,15.0,102656842.0,37187250.0
24003702208,24510030200,15.0,102656842.0,49512386.0
24003702208,24510040100,25.0,102656842.0,288278897.0
24003702208,24510040200,55.0,102656842.0,49478028.0
24003702208,24510240100,10.0,102656842.0,753313420.0
24003702208,24510250103,10.0,102656842.0,49496830.0
24003702209,24003701102,15.0,1644764415.0,102598366.0
24003702209,24003701200,25.0,1644764415.0,102600790.0
24003702209,24003701300,30.0,1644764415.0,102628342.0
24003702209,24003701400,10.0,1644764415.0,102580038.0
24003702209,24003702204,10.0,1644764415.0,102579191.0
24003702209,24003702205,80.0,1644764415.0,102621587.0
24003702209,24003702208,10.0,1644764415.0,102656842.0
24003702209,24003702209,260.0,1644764415.0,1644764415.0
24003702209,24003702300,30.0,1644764415.0,2581953485.0
24003702209,24003702402,55.0,1644764415.0,298042789.0
24003702209,24003702601,10.0,1644764415.0,2106570375.0
24003702209,24003702701,40.0,1644764415.0,452085434.0
24003702209,24003706301,10.0,1644764415.0,4335780024.0
24003702209,24003706302,10.0,1644764415.0,102639717.0
24003702209,24003706401,10.0,1644764415.0,3641449705.0
24003702209,24003706500,20.0,1644764415.0,102591787.0
24003702209,24003706600,45.0,1644764415.0,102617229.0
24003702209,24003706700,20.0,1644764415.0,102579127.0
24003702209,24003707001,10.0,1644764415.0,102553191.0
24003702209,24003730401,10.0,1644764415.0,584187475.0
24003702209,24003730504,10.0,1644764415.0,102636559.0
24003702209,24003730601,10.0,1644764415.0,102576280.0
24003702209,24003730700,20.0,1644764415.0,102573307.0
24003702209,24003730901,15.0,1644764415.0,102573037.0
24003702209,24003731103,20.0,1644764415.0,671848362.0
24003702209,24003731307,4.0,1644764415.0,102595137.0
24003702209,24003740102,10.0,1644764415.0,102570587.0
24003702209,24003740400,10.0,1644764415.0,102622080.0
24003702209,24003740601,30.0,1644764415.0,11449905096.0
24003702209,24003740602,20.0,1644764415.0,994213016.0
24003702209,24003740603,30.0,1644764415.0,102587365.0
24003702209,24003740800,120.0,1644764415.0,3412132820.0
24003702209,24003740900,10.0,1644764415.0,102568942.0
24003702209,24003750201,4.0,1644764415.0,2922595781.0
24003702209,24003751102,10.0,1644764415.0,102561687.0
24003702209,24003751200,25.0,1644764415.0,33154781.0
24003702209,24003751500,30.0,1644764415.0,666085667.0
24003702209,24003980000,25.0,1644764415.0,7386174054.0
24003702209,24005401102,15.0,1644764415.0,2829421925.0
24003702209,24005402407,20.0,1644764415.0,2350050564.0
24003702209,24005411302,10.0,1644764415.0,37633945.0
24003702209,24005430400,25.0,1644764415.0,37358646.0
24003702209,24005451200,10.0,1644764415.0,37902756.0
24003702209,24027604001,10.0,1644764415.0,1878040567.0
24003702209,24027605402,15.0,1644764415.0,1599064071.0
24003702209,24035810901,10.0,1644764415.0,182850074.0
24003702209,24510040100,30.0,1644764415.0,288278897.0
24003702209,24510250500,15.0,1644764415.0,49389121.0
24003702209,24510280500,10.0,1644764415.0,49503976.0
24003702300,24003701102,50.0,2581953485.0,102598366.0
24003702300,24003701300,15.0,2581953485.0,102628342.0
24003702300,24003701400,10.0,2581953485.0,102580038.0
24003702300,24003702204,10.0,2581953485.0,102579191.0
